Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Rodri,ESP,MF,27,34,34,2931,8,9,0,8,1,4.1,3.9,Manchester-City
Phil Foden,ENG,"FW,MF",23,35,33,2857,19,8,0,2,0,10.3,8.4,Manchester-City
Ederson,BRA,GK,29,33,33,2785,0,0,0,5,0,0,0.1,Manchester-City
Julian Alvarez,ARG,"MF,FW",23,36,31,2647,11,8,2,2,0,13,6.4,Manchester-City
Kyle Walker,ENG,DF,33,32,30,2767,0,4,0,2,0,0.4,2.6,Manchester-City
Bernardo Silva,POR,"MF,FW",28,33,29,2578,6,9,0,8,0,3.7,7.6,Manchester-City
Erling Haaland,NOR,FW,23,31,29,2552,27,5,7,1,0,29.2,4.3,Manchester-City
Ruben Dias,POR,DF,26,30,28,2559,0,0,0,0,0,1.4,0.3,Manchester-City
Manuel Akanji,SUI,"DF,MF",28,30,28,2511,2,0,0,4,1,1.9,0.5,Manchester-City
Josko Gvardiol,CRO,DF,21,28,26,2328,4,1,0,3,0,3.1,1.4,Manchester-City
Nathan Ake,NED,DF,28,29,24,2042,2,2,0,0,0,2.5,1.2,Manchester-City
Jeremy Doku,BEL,"FW,MF",21,29,18,1595,3,8,0,3,0,2.5,4.6,Manchester-City
Mateo Kovacic,CRO,MF,29,30,16,1551,1,0,0,4,0,1.3,1.6,Manchester-City
Kevin De Bruyne,BEL,MF,32,18,15,1221,4,10,0,2,0,2.4,11.5,Manchester-City
John Stones,ENG,"DF,MF",29,16,12,1064,1,0,0,2,0,1,0.2,Manchester-City
Jack Grealish,ENG,"FW,MF",27,20,10,1009,3,1,0,6,0,2.1,2.5,Manchester-City
Rico Lewis,ENG,"DF,MF",18,16,8,809,2,0,0,1,0,0.6,1.1,Manchester-City
Matheus Nunes,POR,MF,24,17,7,661,0,2,0,0,0,0.8,1.1,Manchester-City
Stefan Ortega,GER,GK,30,9,5,635,0,0,0,0,0,0,0,Manchester-City
Oscar Bobb,NOR,"FW,MF",20,14,2,302,1,1,0,0,0,1.4,1.2,Manchester-City
Kalvin Phillips,ENG,MF,27,4,0,93,0,0,0,0,0,0.1,0,Manchester-City
Sergio Gomez,ESP,"FW,MF",22,6,0,53,0,1,0,0,0,0.2,0.2,Manchester-City
Aymeric Laporte,ESP,DF,29,1,0,12,0,0,0,0,0,0,0,Manchester-City
Cole Palmer,ENG,MF,21,1,0,11,0,0,0,0,0,0,0,Manchester-City
James Mcatee,ENG,MF,20,1,0,1,0,0,0,0,0,0,0,Manchester-City
Scott Carson,ENG,GK,37,0,0,0,0,0,0,0,0,0,0,Manchester-City
Micah Hamilton,ENG,MF,19,0,0,0,0,0,0,0,0,0,0,Manchester-City
Maximo Perrone,ARG,MF,20,0,0,0,0,0,0,0,0,0,0,Manchester-City
Mahamadou Susoho,ESP,DF,18,0,0,0,0,0,0,0,0,0,0,Manchester-City
Jacob Wright,ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Manchester-City
William Saliba,FRA,DF,22,38,38,3420,2,1,0,4,0,1.6,0.2,Arsenal
Declan Rice,ENG,MF,24,38,37,3225,7,8,0,5,0,3.3,5.3,Arsenal
Martin Odegaard,NOR,MF,24,35,35,3091,8,10,2,2,0,7.4,9.6,Arsenal
Ben White,ENG,DF,25,37,35,2988,4,4,0,8,0,1.2,3.8,Arsenal
Bukayo Saka,ENG,FW,21,35,35,2919,16,9,6,4,0,15.5,10.5,Arsenal
Gabriel Magalhaes,BRA,DF,25,36,34,3044,4,0,0,4,0,4.3,0.7,Arsenal
David Raya,ESP,GK,27,32,32,2880,0,0,0,2,0,0,0,Arsenal
Kai Havertz,GER,"MF,FW",24,37,30,2634,13,7,1,11,0,12.3,4.4,Arsenal
Gabriel Martinelli,BRA,FW,22,35,24,2019,6,4,0,1,0,6.8,6.1,Arsenal
Oleksandr Zinchenko,UKR,DF,26,27,20,1722,1,2,0,2,0,0.6,2.5,Arsenal
Leandro Trossard,BEL,"FW,MF",28,34,18,1649,12,1,0,2,0,7.9,2.8,Arsenal
Gabriel Jesus,BRA,FW,26,27,17,1478,4,5,0,6,0,6.3,3.8,Arsenal
Jakub Kiwior,POL,DF,23,20,11,946,1,3,0,1,0,0.8,0.9,Arsenal
Takehiro Tomiyasu,JPN,DF,24,22,10,1149,2,1,0,2,1,1.5,0.4,Arsenal
Eddie Nketiah,ENG,FW,24,27,10,1082,5,2,0,3,0,4.5,0.8,Arsenal
Jorginho,ITA,MF,31,24,10,921,0,2,0,1,0,0.1,1.4,Arsenal
Thomas Partey,GHA,"MF,DF",30,14,9,788,0,0,0,3,0,0.4,0.3,Arsenal
Aaron Ramsdale,ENG,GK,25,6,6,540,0,0,0,0,0,0,0,Arsenal
Emile Smith Rowe,ENG,MF,23,13,3,353,0,1,0,0,0,2,0.2,Arsenal
Fabio Vieira,POR,"MF,FW",23,11,2,297,1,2,1,0,1,1.3,1.6,Arsenal
Reiss Nelson,ENG,FW,23,15,1,268,0,0,0,1,0,0.2,0.6,Arsenal
Jurrien Timber,NED,DF,22,2,1,71,0,0,0,2,0,0,0,Arsenal
Cedric Soares,POR,DF,31,3,0,62,0,0,0,0,0,0,0,Arsenal
Mohamed Elneny,EGY,MF,31,3,0,28,0,0,0,0,0,0.1,0,Arsenal
Ethan Nwaneri,ENG,FW,16,1,0,14,0,0,0,0,0,0,0,Arsenal
Mauro Bandeira,POR,MF,19,0,0,0,0,0,0,0,0,0,0,Arsenal
Bradley Ibrahim,ENG,MF,18,0,0,0,0,0,0,0,0,0,0,Arsenal
Karl Jakob Hein,EST,GK,21,0,0,0,0,0,0,0,0,0,0,Arsenal
Myles Lewis-Skelly,ENG,MF,16,0,0,0,0,0,0,0,0,0,0,Arsenal
Charles Sagoe Jr,ENG,FW,19,0,0,0,0,0,0,0,0,0,0,Arsenal
James Sweet,WAL,DF,19,0,0,0,0,0,0,0,0,0,0,Arsenal
Reuell Walters,ENG,DF,18,0,0,0,0,0,0,0,0,0,0,Arsenal
Virgil van Dijk,NED,DF,32,36,36,3177,2,2,0,3,1,2.8,1.6,Liverpool
Luis Di­az,COL,FW,26,37,32,2629,8,5,0,3,0,11.9,5.7,Liverpool
Alexis Mac Allister,ARG,MF,24,33,31,2599,5,5,1,7,1,3.7,3.6,Liverpool
Mohamed Salah,EGY,FW,31,32,28,2534,18,10,5,2,0,21.2,11.8,Liverpool
Alisson,BRA,GK,30,28,28,2520,0,0,0,1,0,0,0,Liverpool
Trent Alexander-Arnold,ENG,DF,24,28,25,2155,3,4,0,6,0,2.6,7.2,Liverpool
Dominik Szoboszlai,HUN,MF,22,33,25,2104,3,2,0,1,0,3.7,5.8,Liverpool
Darwin Nunez,URU,FW,24,36,22,2047,11,8,0,9,0,16.3,6,Liverpool
Wataru Endo,JPN,MF,30,29,20,1722,1,0,0,10,0,0.5,1.7,Liverpool
Andrew Robertson,SCO,DF,29,23,18,1693,3,2,0,2,0,1.9,5.4,Liverpool
Joe Gomez,ENG,DF,26,32,17,1786,0,1,0,5,0,0.8,1.3,Liverpool
Cody Gakpo,NED,"FW,MF",24,35,17,1649,8,5,0,1,0,9,2.9,Liverpool
Ibrahima Konate,FRA,DF,24,22,17,1574,0,0,0,5,1,0.7,0.4,Liverpool
Curtis Jones,ENG,MF,22,23,14,1167,1,1,0,3,1,2.6,0.7,Liverpool
Diogo Jota,POR,FW,26,21,14,1145,10,3,0,3,1,5.3,3.3,Liverpool
Jarell Quansah,ENG,DF,20,17,13,1190,2,0,0,1,0,1,0.1,Liverpool
Ryan Gravenberch,NED,MF,21,26,12,1121,1,0,0,0,0,2,0.9,Liverpool
Harvey Elliott,ENG,"MF,FW",20,34,11,1352,3,6,0,2,0,2.7,3.5,Liverpool
Caoimhan Kelleher,IRL,GK,24,10,10,900,0,0,0,0,0,0,0,Liverpool
Conor Bradley,NIR,DF,20,11,10,753,1,3,0,2,0,0.9,1.5,Liverpool
Joel Matip,CMR,DF,31,10,9,781,0,0,0,2,0,0.5,0.1,Liverpool
Kostas Tsimikas,GRE,DF,27,13,8,679,0,3,0,0,0,0.1,1,Liverpool
Bobby Clark,ENG,MF,18,5,1,89,0,0,0,0,0,0.1,0,Liverpool
Stefan Bajcetic,ESP,MF,18,1,0,26,0,0,0,0,0,0,0,Liverpool
Ben Doak,SCO,FW,17,1,0,14,0,0,0,0,0,0,0,Liverpool
Jayden Danns,ENG,FW,17,2,0,9,0,0,0,1,0,0,0,Liverpool
Owen Beck,WAL,DF,20,1,0,8,0,0,0,0,0,0,0,Liverpool
Thiago Alcantara,ESP,MF,32,1,0,6,0,0,0,0,0,0,0,Liverpool
James McConnell,ENG,MF,18,3,0,4,0,0,0,0,0,0,0,Liverpool
Kaide Gordon,ENG,FW,18,1,0,1,0,0,0,0,0,0,0,Liverpool
Adrian,ESP,GK,36,0,0,0,0,0,0,0,0,0,0,Liverpool
Luke Chambers,ENG,DF,19,0,0,0,0,0,0,0,0,0,0,Liverpool
Lewis Koumas,WAL,MF,17,0,0,0,0,0,0,0,0,0,0,Liverpool
Fabian Mrozek,POL,GK,19,0,0,0,0,0,0,0,0,0,0,Liverpool
Amara Nallo,ENG,DF,16,0,0,0,0,0,0,0,0,0,0,Liverpool
Trey Nyoni,ENG,MF,16,0,0,0,0,0,0,0,0,0,0,Liverpool
Marcelo Pitaluga,BRA,GK,20,0,0,0,0,0,0,0,0,0,0,Liverpool
Calum Scanlon,ENG,MF,18,0,0,0,0,0,0,0,0,0,0,Liverpool
Ollie Watkins,ENG,FW,27,37,37,3217,19,13,0,4,0,16.8,7.3,Aston-Villa
Ezri Konsa,ENG,DF,25,35,35,3069,1,0,0,5,0,2.5,0.5,Aston-Villa
John McGinn,SCO,"MF,FW",28,35,35,2999,6,4,0,9,1,5,4.6,Aston-Villa
Douglas Luiz,BRA,MF,25,35,35,2993,9,5,4,12,0,6.9,5.4,Aston-Villa
Emiliano Martinez,ARG,GK,30,34,34,3015,0,0,0,4,0,0,0,Aston-Villa
Pau Torres,ESP,DF,26,29,27,2464,2,0,0,1,0,1,0.4,Aston-Villa
Lucas Digne,FRA,DF,30,33,27,2410,1,3,0,7,0,1.1,4.1,Aston-Villa
Moussa Diaby,FRA,"FW,MF",24,38,25,2174,6,8,0,1,0,7,6.6,Aston-Villa
Matty Cash,POL,DF,25,29,23,2142,2,2,0,8,0,4.2,2.3,Aston-Villa
Leon Bailey,JAM,"MF,FW",25,35,22,2068,10,9,0,5,0,6.3,9.2,Aston-Villa
Diego Carlos,BRA,DF,30,27,20,1816,0,0,0,4,0,1.9,0.1,Aston-Villa
Boubacar Kamara,FRA,MF,23,20,20,1652,0,1,0,7,1,0.1,1.3,Aston-Villa
Youri Tielemans,BEL,"MF,FW",26,32,17,1622,2,6,0,3,0,1.3,2.6,Aston-Villa
Clement Lenglet,FRA,DF,28,14,14,1153,0,1,0,3,0,0.9,0.8,Aston-Villa
Alex Moreno,ESP,DF,30,21,11,1031,2,0,0,2,0,1.1,1.1,Aston-Villa
Nicola Zaniolo,ITA,"FW,MF",24,25,9,839,2,0,0,7,0,2.6,1,Aston-Villa
Jacob Ramsey,ENG,"FW,MF",22,16,8,853,1,1,0,2,0,2.2,1,Aston-Villa
Morgan Rogers,ENG,"MF,FW",21,11,8,638,3,1,0,3,0,1.4,0.6,Aston-Villa
Robin Olsen,SWE,GK,33,5,4,405,0,0,0,0,0,0,0,Aston-Villa
Jhon Duran,COL,"FW,MF",19,23,3,475,5,0,0,5,0,2,0.3,Aston-Villa
Tim Iroegbunam,ENG,MF,20,9,1,164,0,0,0,0,0,0,0,Aston-Villa
Calum Chambers,ENG,"MF,DF",28,5,1,152,0,1,0,1,0,0,0.1,Aston-Villa
Leander Dendoncker,BEL,MF,28,8,1,119,1,0,0,0,0,0.7,0,Aston-Villa
Tyrone Mings,ENG,DF,30,1,1,30,0,0,0,0,0,0,0,Aston-Villa
Omari Kellyman,ENG,FW,17,2,0,37,0,0,0,0,0,0.1,0,Aston-Villa
Philippe Coutinho,BRA,"MF,FW",31,2,0,25,0,0,0,0,0,0.1,0,Aston-Villa
Bertrand Traore,BFA,"DF,FW",27,2,0,11,0,0,0,0,0,0,0,Aston-Villa
Cameron Archer,ENG,MF,22,1,0,6,0,0,0,1,0,0,0,Aston-Villa
Kaine Kesler-Hayden,ENG,"MF,DF",20,3,0,6,0,0,0,0,0,0,0,Aston-Villa
Finley Munroe,ENG,MF,18,1,0,4,0,0,0,0,0,0,0,Aston-Villa
Jaden Philogene Bidace,ENG,FW,21,1,0,4,0,0,0,0,0,0,0,Aston-Villa
Lander Emery,0,GK,0,0,0,0,0,0,0,0,0,0,0,Aston-Villa
Joe Gauci,AUS,GK,23,0,0,0,0,0,0,0,0,0,0,Aston-Villa
Filip Marshall,ENG,GK,20,0,0,0,0,0,0,0,0,0,0,Aston-Villa
Tommi O'Reilly,ENG,MF,19,0,0,0,0,0,0,0,0,0,0,Aston-Villa
Sam Proctor,ENG,GK,16,0,0,0,0,0,0,0,0,0,0,Aston-Villa
James Wright,ENG,GK,18,0,0,0,0,0,0,0,0,0,0,Aston-Villa
Kadan Young,ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Aston-Villa
Oliwier Zych,POL,GK,19,0,0,0,0,0,0,0,0,0,0,Aston-Villa
Guglielmo Vicario,ITA,GK,26,38,38,3420,0,0,0,2,0,0,0,Tottenham-Hotspur
Pedro Porro,ESP,DF,23,35,35,3089,3,7,0,3,0,2.9,7.2,Tottenham-Hotspur
Son Heung-min,KOR,FW,31,35,34,2934,17,10,2,1,0,12,11.8,Tottenham-Hotspur
Cristian Romero,ARG,DF,25,33,33,2790,5,0,0,7,1,3.5,0.4,Tottenham-Hotspur
Dejan Kulusevski,SWE,"FW,MF",23,36,31,2762,8,3,0,7,0,4.7,7.7,Tottenham-Hotspur
Destiny Udogie,ITA,DF,20,28,28,2391,2,3,0,7,1,2.4,2.2,Tottenham-Hotspur
Micky van de Ven,NED,DF,22,27,27,2339,3,0,0,5,0,0.6,0,Tottenham-Hotspur
Pape Matar Sarr,SEN,MF,20,34,27,2069,3,3,0,9,0,3.4,2.2,Tottenham-Hotspur
James Maddison,ENG,MF,26,28,26,2135,4,9,0,5,0,6.4,5.9,Tottenham-Hotspur
Yves Bissouma,MLI,MF,26,28,26,2068,0,0,0,10,2,1.4,0.4,Tottenham-Hotspur
Brennan Johnson,WAL,FW,22,32,23,2085,5,10,0,3,0,10.3,8.1,Tottenham-Hotspur
Richarlison,BRA,FW,26,28,18,1491,11,4,0,3,0,9.6,2.1,Tottenham-Hotspur
Rodrigo Bentancur,URU,MF,26,23,13,1005,1,1,0,7,0,1.9,0.5,Tottenham-Hotspur
Ben Davies,WAL,DF,30,17,12,1090,1,0,0,2,0,2.3,0.4,Tottenham-Hotspur
Emerson,BRA,DF,24,22,11,1161,1,0,0,4,0,0.2,0.4,Tottenham-Hotspur
Timo Werner,GER,FW,27,13,10,809,2,3,0,1,0,3.7,2.7,Tottenham-Hotspur
Pierre Hojbjerg,DEN,MF,27,36,8,1311,0,0,0,4,0,0.7,1.2,Tottenham-Hotspur
Oliver Skipp,ENG,"MF,DF",22,21,5,707,0,0,0,3,0,0.7,0.6,Tottenham-Hotspur
Giovani Lo Celso,ARG,MF,27,22,4,506,2,2,0,2,0,0.6,1.9,Tottenham-Hotspur
Radu Dragusin,ROU,DF,21,9,4,429,0,0,0,1,0,0.1,0,Tottenham-Hotspur
Bryan Gil,ESP,"FW,MF",22,11,2,209,0,0,0,0,0,0.8,0.2,Tottenham-Hotspur
Manor Solomon,ISR,FW,24,5,2,199,0,2,0,1,0,0.4,0.8,Tottenham-Hotspur
Eric Dier,ENG,DF,29,4,1,201,0,0,0,0,0,0,0,Tottenham-Hotspur
Ivan Perisic,CRO,FW,34,5,0,103,0,1,0,2,0,0.1,0.9,Tottenham-Hotspur
Davinson Sanchez,COL,DF,27,1,0,77,0,0,0,1,0,0.1,0,Tottenham-Hotspur
Alejo Vacliz,ARG,FW,19,8,0,50,1,0,0,1,0,0.2,0,Tottenham-Hotspur
Dane Scarlett,ENG,FW,19,4,0,22,0,0,0,0,0,0,0,Tottenham-Hotspur
Mikey Moore,ENG,MF,15,2,0,4,0,0,0,0,0,0,0,Tottenham-Hotspur
Jamie Donley,ENG,FW,18,3,0,3,0,0,0,1,0,0,0,Tottenham-Hotspur
Brandon Austin,ENG,GK,24,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
Alfie Dorrington,ENG,DF,18,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
Fraser Forster,ENG,GK,35,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
Tyrese Hall,ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
Ashley Phillips,WAL,DF,18,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
Yago Santiago,ESP,"FW,MF",20,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
Alfie Whiteman,ENG,GK,24,0,0,0,0,0,0,0,0,0,0,Tottenham-Hotspur
Conor Gallagher,ENG,MF,23,37,37,3128,5,7,0,9,1,4.2,5,Chelsea
Moises Caicedo,ECU,MF,21,35,33,2866,1,3,0,11,0,0.4,2.6,Chelsea
Nicolas Jackson,SEN,FW,22,35,31,2799,14,5,0,10,0,18.6,4.3,Chelsea
Cole Palmer,ENG,"FW,MF",21,33,29,2607,22,11,9,7,0,18.2,11,Chelsea
Axel Disasi,FRA,DF,25,31,29,2579,2,0,0,6,0,2.4,0.3,Chelsea
Thiago Silva,BRA,DF,38,31,28,2527,3,1,0,4,0,0.8,1,Chelsea
Enzo Fernandez,ARG,MF,22,28,26,2209,3,2,1,7,0,6.2,3.4,Chelsea
Alexis Petrovic,SRB,GK,23,23,22,1987,0,0,0,2,0,0,0,Chelsea
Raheem Sterling,ENG,"FW,MF",28,31,22,1978,8,4,0,7,0,6.5,4.5,Chelsea
Levi Colwill,ENG,DF,20,23,20,1797,1,1,0,2,0,1.3,1.2,Chelsea
Marc Cucurella,ESP,DF,25,21,20,1782,0,2,0,10,0,1.1,1.1,Chelsea
Malo Gusto,FRA,DF,20,27,19,1751,0,6,0,7,1,0.9,4.3,Chelsea
Mykhailo Mudryk,UKR,FW,22,31,18,1576,5,2,0,5,0,4.4,4.1,Chelsea
Robert Sanchez,ESP,GK,25,16,16,1433,0,0,0,2,0,0,0,Chelsea
Benoat Badiashile,FRA,DF,22,18,15,1338,0,1,0,3,0,0.3,1.5,Chelsea
Noni Madueke,ENG,FW,21,23,13,1053,5,2,1,2,0,2.5,2.6,Chelsea
Trevoh Chalobah,ENG,DF,24,13,10,952,1,0,0,1,0,0.2,0.1,Chelsea
Ben Chilwell,ENG,DF,26,13,9,756,0,1,0,5,0,1.2,2.2,Chelsea
Armando Broja,ALB,FW,21,13,6,454,1,0,0,0,0,2.4,0.2,Chelsea
Reece James,ENG,DF,23,10,5,419,0,2,0,2,2,0.3,1.7,Chelsea
Lesley Ugochukwu,FRA,MF,19,12,3,301,0,0,0,2,0,0,0.1,Chelsea
Christopher Nkunku,FRA,"FW,MF",25,11,2,443,3,0,0,0,0,2.3,0.2,Chelsea
Carney Chukwuemeka,ENG,"MF,FW",19,9,2,227,1,1,0,2,0,0.2,0.3,Chelsea
Alfie Gilchrist,ENG,DF,19,11,2,207,1,0,0,1,0,0.3,0,Chelsea
Ian Maatsen,NED,"FW,MF",21,12,1,209,0,0,0,1,0,0.8,0.1,Chelsea
Cesare Casadei,ITA,"FW,MF",20,11,0,79,0,0,0,0,0,0,0.1,Chelsea
Romeo Lavia,BEL,MF,19,1,0,33,0,0,0,0,0,0,0,Chelsea
Deivid Washington,BRA,"DF,FW",18,2,0,13,0,0,0,0,0,0.5,0,Chelsea
Mason Burstow,ENG,FW,19,2,0,9,0,0,0,0,0,0,0,Chelsea
Joshua Acheampong,ENG,DF,17,1,0,6,0,0,0,0,0,0,0,Chelsea
Alex Matos,ENG,MF,18,1,0,1,0,0,0,0,0,0,0,Chelsea
Jimi Tauriainen,ENG,FW,19,1,0,1,0,0,0,0,0,0,0,Chelsea
Marcus Bettinelli,ENG,GK,31,0,0,0,0,0,0,1,0,0,0,Chelsea
Eddie Beach,WAL,GK,19,0,0,0,0,0,0,0,0,0,0,Chelsea
Lucas Bergstrom,FIN,GK,20,0,0,0,0,0,0,0,0,0,0,Chelsea
Joshua Brooking,ENG,DF,20,0,0,0,0,0,0,0,0,0,0,Chelsea
Leo Castledine,ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Chelsea
Ted Curd,ENG,GK,17,0,0,0,0,0,0,0,0,0,0,Chelsea
Kiano Dyer,ENG,MF,16,0,0,0,0,0,0,0,0,0,0,Chelsea
Tyrique George,ENG,FW,17,0,0,0,0,0,0,0,0,0,0,Chelsea
Ollie Harrison,ENG,MF,15,0,0,0,0,0,0,0,0,0,0,Chelsea
Bashir Humphreys,ENG,DF,20,0,0,0,0,0,0,0,0,0,0,Chelsea
Diego Moreira,POR,MF,18,0,0,0,0,0,0,0,0,0,0,Chelsea
Ishac Samuels-Smith,ENG,DF,17,0,0,0,0,0,0,0,0,0,0,Chelsea
Andrey Santos,BRA,MF,19,0,0,0,0,0,0,0,0,0,0,Chelsea
Teddy Sharman,ENG,GK,20,0,0,0,0,0,0,0,0,0,0,Chelsea
Zak Sturge,ENG,DF,19,0,0,0,0,0,0,0,0,0,0,Chelsea
Ronnie Stutter,ENG,FW,18,0,0,0,0,0,0,0,0,0,0,Chelsea
Bruno Guimares,BRA,MF,25,37,37,3263,7,8,0,9,0,4.8,6.4,Newcastle-United
Fabian Schaor,SUI,DF,31,36,35,3054,4,1,0,5,0,2.5,0.7,Newcastle-United
Anthony Gordon,ENG,FW,22,35,34,2890,11,10,1,12,1,10.2,8,Newcastle-United
Dan Burn,ENG,DF,31,33,32,2726,2,2,0,4,0,3.1,1.1,Newcastle-United
Sean Longstaff,ENG,MF,25,35,30,2747,6,2,0,7,0,6.7,2.3,Newcastle-United
Alexander Isak,SWE,FW,23,30,27,2255,21,2,5,1,0,20.3,3.7,Newcastle-United
Kieran Trippier,ENG,DF,32,28,26,2236,1,10,0,5,0,0.7,7.5,Newcastle-United
Miguel Almiron,PAR,FW,29,33,23,1937,3,1,0,2,0,4.5,2.6,Newcastle-United
Martin Dobravka,SVK,GK,34,23,22,1985,0,0,0,1,0,0,0.1,Newcastle-United
Sven Botman,NED,DF,23,17,15,1377,2,2,0,2,0,0.6,1,Newcastle-United
Nick Pope,ENG,GK,31,15,15,1345,0,0,0,1,0,0,0,Newcastle-United
Joelinton,BRA,"MF,FW",26,20,15,1279,2,1,0,6,0,3,2.9,Newcastle-United
Lewis Miley,ENG,MF,17,17,14,1202,1,3,0,1,0,1.2,1.7,Newcastle-United
Jacob Murphy,ENG,"FW,DF",28,21,14,1189,3,7,0,1,0,2.1,5,Newcastle-United
Jamaal Lascelles,ENG,DF,29,16,13,1080,1,0,0,4,0,0.7,0.1,Newcastle-United
Valentino Livramento,ENG,DF,20,26,12,1314,1,0,0,1,0,0.4,0.8,Newcastle-United
Elliot Anderson,SCO,"MF,FW",20,21,10,1027,0,2,0,3,0,1.6,1.9,Newcastle-United
Callum Wilson,ENG,FW,31,20,9,991,9,1,2,3,0,8.8,0.6,Newcastle-United
Emil Krafth,SWE,DF,28,17,8,913,0,0,0,2,0,0.2,1,Newcastle-United
Lewis Hall,ENG,DF,18,18,8,781,1,0,0,2,0,0.3,0.2,Newcastle-United
Harvey Barnes,ENG,"FW,MF",25,21,7,802,5,3,0,2,0,3.6,3.2,Newcastle-United
Sandro Tonali,ITA,MF,23,8,5,438,1,0,0,2,0,0.7,0.6,Newcastle-United
Joe Willock,ENG,MF,23,9,5,419,1,0,0,0,0,0.8,0.6,Newcastle-United
Loris Karius,GER,GK,30,1,1,90,0,0,0,0,0,0,0,Newcastle-United
Matt Targett,ENG,DF,27,3,1,78,0,0,0,1,0,0,0,Newcastle-United
Matt Ritchie,SCO,"FW,MF",33,13,0,128,1,0,0,1,0,1,0,Newcastle-United
Ben Parkinson,ENG,FW,18,1,0,25,0,0,0,0,0,0,0,Newcastle-United
Paul Dummett,WAL,DF,31,5,0,20,0,0,0,0,0,0,0,Newcastle-United
Alex Murphy,IRL,"DF,FW",19,2,0,13,0,0,0,0,0,0,0,Newcastle-United
Joe White,ENG,MF,20,4,0,13,0,0,0,1,0,0,0,Newcastle-United
Amadou Diallo,ENG,MF,20,1,0,1,0,0,0,0,0,0,0,Newcastle-United
Michael Ndiweni,ENG,FW,19,1,0,1,0,0,0,0,0,0,0,Newcastle-United
Mark Gillespie,ENG,GK,31,0,0,0,0,0,0,0,0,0,0,Newcastle-United
Travis Hearnes,ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Newcastle-United
Javier Manquillo,ESP,DF,29,0,0,0,0,0,0,0,0,0,0,Newcastle-United
Andre Onana,CMR,GK,27,38,38,3420,0,0,0,5,0,0,0.1,Manchester-United
Diogo Dalot,POR,DF,24,36,35,3174,2,3,0,6,1,1.7,2.9,Manchester-United
Bruno Fernandes,POR,"MF,FW",28,35,35,3118,10,8,4,9,0,10,11.8,Manchester-United
Alejandro Garnacho,ARG,FW,19,36,30,2565,7,4,0,4,0,8.4,5.1,Manchester-United
Marcus Rashford,ENG,FW,25,33,26,2271,7,2,2,2,0,7.3,2.3,Manchester-United
Rasmus Hojlund,DEN,FW,20,30,25,2158,10,2,0,2,0,7.6,1.6,Manchester-United
Casemiro,BRA,"MF,DF",31,25,24,1982,1,2,0,7,0,3.5,1,Manchester-United
Kobbie Mainoo,ENG,MF,18,24,24,1924,3,1,0,3,0,0.9,0.7,Manchester-United
Aaron Wan-Bissaka,ENG,DF,25,22,20,1780,0,2,0,4,0,0.1,1.5,Manchester-United
Scott McTominay,SCO,"MF,FW",26,32,18,1901,7,1,0,2,0,5.7,0.8,Manchester-United
Harry Maguire,ENG,DF,30,22,18,1653,2,2,0,4,0,2,1.2,Manchester-United
Raphael Varane,FRA,DF,30,22,16,1375,1,0,0,2,0,1.3,0.1,Manchester-United
Jonny Evans,NIR,DF,35,23,15,1392,0,1,0,2,0,0.1,1.2,Manchester-United
Antony,BRA,FW,23,29,15,1324,1,1,0,5,0,3.4,2.8,Manchester-United
Victor Lindelof,SWE,DF,29,19,14,1328,1,1,0,2,0,0.8,0.3,Manchester-United
Christian Eriksen,DEN,MF,31,22,12,1141,1,2,0,1,0,1,2.3,Manchester-United
Luke Shaw,ENG,DF,28,12,12,959,0,0,0,6,0,0,1,Manchester-United
Sofyan Amrabat,MAR,"MF,DF",26,21,10,938,0,0,0,6,0,0.1,0.3,Manchester-United
Lisandro Martinez,ARG,DF,25,11,8,646,0,1,0,3,0,0,0.1,Manchester-United
Mason Mount,ENG,"MF,FW",24,14,5,516,1,0,0,2,0,0.4,0.3,Manchester-United
Anthony Martial,FRA,FW,27,13,5,448,1,0,0,0,0,1.2,0.2,Manchester-United
Sergio Reguilon,ESP,DF,26,9,4,412,0,0,0,3,0,0.2,0.7,Manchester-United
Amad Diallo,CIV,"FW,MF",21,9,3,390,1,1,0,1,0,0.5,1,Manchester-United
Willy Kambwala,FRA,DF,18,8,3,330,0,0,0,1,0,0,0,Manchester-United
Facundo Pellistri,URU,"FW,MF",21,9,1,172,0,1,0,0,0,0.7,0.1,Manchester-United
Hannibal Mejbri,TUN,"MF,FW",20,5,1,133,1,0,0,1,0,0,0.4,Manchester-United
Omari Forson,ENG,FW,19,4,1,70,0,1,0,0,0,0,0.2,Manchester-United
Jadon Sancho,ENG,"FW,MF",23,3,0,79,0,0,0,0,0,0,0.1,Manchester-United
Ethan Wheatley,ENG,FW,17,3,0,16,0,0,0,0,0,0,0,Manchester-United
